鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
中山區,房地(土地+建物),臺北市中山區新生北路一段１０８之３號十樓之６,2.98,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參之貳種住宅區)。,,,1101015,土地6建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0671002,23.93,1,0,1,有,有,5080000,212286,,0.0,0,,RPXQMLTJJIGGFCA38DA,16.09,2.78,0.0,有,053
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路三段７２巷６３之１號,30.63,都市：其他:第三種住宅區。,,,1101020,土地1建物1車位1,一層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830729,160.68,3,2,2,有,有,27000000,203776,坡道平面,40.45,2500000,其他增建；,RPXOMLKKJIGGFCA37DA,136.63,9.59,0.0,,
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段１８０巷４２弄１１號七樓之１,7.77,都市：其他:第三種商業區。,,,1101016,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718,117.95,2,1,1,有,有,21800000,250910,坡道平面,41.04,2500000,,RPWSMLSJJIGGFCA38DA,44.92,6.22,0.0,有,055
中山區,房地(土地+建物)+車位,臺北市中山區明水路５５５號六樓之２９,12.44,都市：其他:第三種住宅區。,,,1100612,土地1建物1車位1,五層，六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850530,77.51,1,1,1,有,有,12980000,167462,坡道平面,0.0,0,夾層；其他增建；,RPRNMLTLIIGGFCA57DA,29.76,3.8,0.0,有,059
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段２２５號十一樓,62.29,都市：其他:第二之一種住宅區(依都市計畫說明書圖規定辦理)。,,,1101005,土地2建物1車位1,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001114,245.68,5,2,2,有,有,53200000,239027,坡道平面,33.57,2500000,,RPPPMLRLIIGGFCA37DA,126.57,27.72,0.0,,
中山區,房地(土地+建物),臺北市中山區林森北路４８１號八樓之７,4.57,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1100827,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920122,43.25,1,1,1,有,有,8650000,200000,,0.0,0,陽台外推；夾層；其他增建；,RPQPMLQLIIGGFCA37DA,23.02,3.85,0.0,,
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段１２３巷３４弄２８號二樓,21.11,都市：其他:第三種商業區。,,,1100917,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040724,224.0,3,2,2,有,有,45000000,200884,坡道平面,33.24,0,其他增建；,RPUPMLMKIIGGFCA27DA,114.39,17.71,0.0,有,064
內湖區,房地(土地+建物)+車位,臺北市內湖區康寧路三段５６巷１４０號二樓,44.42,都市：其他:第三種住宅區。,,,1101006,土地1建物1車位2,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971031,285.09000000000003,4,2,2,有,有,46500000,163106,坡道平面,0.0,0,其他增建；,RPUOMLTKIIGGFCA87DA,117.31,14.9,0.0,有,065
中正區,房地(土地+建物),臺北市中正區中華路一段７號五樓之６,3.63,都市：其他:第四種商業區。,,,1100826,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041214,59.68,1,1,1,有,有,16960000,284230,,0.0,0,,RPUNMLKKJIGGFBA86DA,35.12,3.35,0.0,有,068
大同區,房地(土地+建物)+車位,臺北市大同區重慶北路三段１５號五樓,17.36,都市：其他:第三種商業區(原屬第肆之壹種住宅區於七十九年九月十三日變更為第貳種商業區又於八十四年九月二十七日調整為第參種商業區(均應依前述都市計畫說明書圖規定辦理))。,,,1101010,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100225,142.97,3,2,2,有,有,31000000,216829,升降機械,24.03,0,,RPQOMLTJJIGGFBA37DA,67.37,13.68,0.0,,
