鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
三重區,房地(土地+建物)+車位,新北市三重區河邊北街１７號二樓之一,13.23,都市：其他:住宅區,,,1100812,土地3建物1車位1,二層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土構造、鋼骨構造、鋼筋混凝土構造,1100125,157.27999999999997,3,2,2,有,有,22880000,160025,坡道平面,28.05,2200000,,RPSQMLSJJIGGFGF78EA,72.48,14.34,0.0,,
三重區,房地(土地+建物)+車位,新北市三重區河邊北街１９號十九樓,10.48,都市：其他:住宅區,,,1100821,土地3建物1車位1,十九層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土構造、鋼骨構造、鋼筋混凝土構造,1100125,128.62,3,2,1,有,有,20880000,183753,坡道平面,28.05,2400000,,RPTQMLSJJIGGFGF88EA,56.52,10.55,0.0,,
三重區,房地(土地+建物)+車位,新北市三重區河邊北街１７號十樓之二,10.94,都市：其他:住宅區,,,1100925,土地3建物1車位1,十層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土構造、鋼骨構造、鋼筋混凝土構造,1100125,134.51999999999998,3,2,2,有,有,20930000,181809,坡道平面,30.4,2000000,,RPUQMLSJJIGGFGF98EA,58.63,10.62,0.0,,
三重區,房地(土地+建物),新北市三重區三和路四段１６７巷２４號,51.0,都市：其他:住宅區,,,1101013,土地1建物2車位0,二層，陽台,二層,公寓(5樓含以下無電梯),住家用,加強磚造,0570314,94.0,3,3,3,有,無,10600000,112766,,0.0,0,,RPQNMLTJJIGGFGF38EA,94.0,0.0,0.0,,
雙溪區,房地(土地+建物)+車位,新北市雙溪區梅竹蹊５６之２３號,96.25,都市：其他:住宅區,,,1101023,土地2建物1車位1,全,三層,透天厝,住家用,鋼筋混凝土造,0900316,228.23,3,3,3,有,無,7080000,31021,坡道平面,0.0,0,,RPPNMLMKJIGGFFF57EA,187.14,22.89,0.0,,
三重區,房地(土地+建物),新北市三重區重陽路二段１９巷２８號三樓,21.45,都市：其他:住宅區,,,1100918,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0600615,76.66,2,1,1,有,無,9500000,123924,,0.0,0,,RPQNMLLJJIGGFGF57EA,76.66,0.0,0.0,,
中和區,土地,中原段100地號,91.82,都市：其他:乙種工業區,,,1101025,土地10建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3500000,38118,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；畸零地或有合併使用效益；,RPSNMLLKJIGGFHF97EA,0.0,0.0,0.0,,
永和區,房地(土地+建物),新北市永和區民族街４１巷３號二樓,41.51,都市：其他:住宅區,,,1101007,土地1建物1車位0,二層，平台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0591117,111.73,4,2,1,有,無,13520000,121006,,0.0,0,其他增建；,RPTOMLLKJIGGFHF18EA,111.73,0.0,0.0,,
永和區,房地(土地+建物),新北市永和區國光路３９之１號二樓,10.22,都市：其他:住宅區,,,1101012,土地6建物1車位0,二層，陽台,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0671130,52.16,3,2,2,有,有,8550000,163919,,0.0,0,,RPVOMLLKJIGGFHF38EA,52.16,0.0,0.0,,
永和區,房地(土地+建物),新北市永和區中和路３０５巷２弄１０號四樓,23.4,都市：其他:商業區,,,1100927,土地2建物1車位0,四層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670314,96.08,3,2,1,有,無,10000000,104080,,0.0,0,,RPWOMLLKJIGGFHF48EA,96.08,0.0,0.0,,
